Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
172560.4544127,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
172560.4660393,960,-0.102800057874992,0.57558236271143,-1.14126195145812e-08,-185.321472595141,-432.929048622141,1673.45369365538,-52.8908845963116,-426.97049397627,1660.44233556654,62.9718411720795,-309.504918407076,1440.23306762485,-271.633133909728,-262.432204896784,1433.50607669432,0,0,0,0,0,0
172560.4775795,960,-0.1031708329916,0.575526118278503,-1.14041268412938e-08,-185.426014727223,-432.957289762325,1673.25962010302,-53.1399651252294,-427.151130297124,1660.18573989564,63.1288613100093,-309.538344896841,1440.1412055159,-271.386709773424,-262.454864110913,1433.43146281659,0,0,0,0,0,0
172560.4893907,960,-0.102089248271659,0.576700977981091,-1.15815257249439e-08,-185.552804069858,-433.077076187983,1673.11081812098,-53.1806704247776,-427.179810199058,1660.18176529063,63.2924321942934,-309.68556928834,1440.15201726068,-271.176640807641,-262.494552907767,1433.52320311998,0,0,0,0,0,0
172560.5016749,960,-0.103543044673279,0.576145678758621,-1.14976778732039e-08,-185.699745809665,-433.35430601027,1673.13804848696,-53.1646435042411,-427.317608449349,1660.31939456677,63.4657051324615,-309.705300467836,1440.22798088717,-270.939136574598,-262.398512915619,1433.54515452988,0,0,0,0,0,0
172560.5165366,960,-0.102966310596094,0.575838081538677,-1.1451231984123e-08,-185.667511271112,-433.460028188901,1672.96634872277,-53.180518895177,-427.722364651073,1660.19128918479,63.7818666344528,-309.947051633224,1440.32951076887,-270.727285765125,-262.336966838755,1433.64187947401,0,0,0,0,0,0
172560.5279702,960,-0.104121887497604,0.57623104006052,-1.1510567071489e-08,-185.627409612841,-433.504015132065,1672.93821588385,-53.1489957707397,-428.277592428198,1660.23147309507,63.9509053515358,-310.200759229568,1440.57094222875,-270.707673407737,-262.330736929183,1433.84386159172,0,0,0,0,0,0
172560.5390738,960,-0.103576803253964,0.575964994728565,-1.14703953430816e-08,-185.576453620787,-433.624423601223,1672.9513841083,-53.0580556857129,-428.665497014542,1660.3878803574,64.2679478281852,-310.523705798129,1440.50716728444,-270.590381434981,-262.266136755597,1434.00629766948,0,0,0,0,0,0
172560.549784,960,-0.103582342760637,0.576515220105648,-1.15534770654655e-08,-185.512673083018,-433.860445624463,1673.0623150523,-52.9433335790568,-428.770894567259,1660.46630716164,64.501713343452,-310.672102207522,1440.56618545302,-270.259371866921,-262.18430483863,1434.2965348763,0,0,0,0,0,0
172560.5605073,960,-0.103980354871601,0.579069674015045,-1.19391888835359e-08,-185.065926182969,-433.815218682483,1673.00997130822,-52.7646590273192,-428.859764259749,1660.58130363523,64.6136133397924,-311.061600419256,1440.88926787128,-270.07509077026,-262.177162723701,1434.43378278126,0,0,0,0,0,0
172560.5712466,960,-0.10402999157086,0.575307779014111,-1.13711585288434e-08,-184.911404508504,-433.938678550319,1673.20856346465,-52.5965589327091,-428.947180265935,1660.5138529011,64.6264295831611,-311.235640240905,1440.87381071853,-269.635834350232,-262.251524558485,1434.55627875976,0,0,0,0,0,0
172560.5819597,960,-0.104510538186878,0.575728476047516,-1.14346820150236e-08,-184.680477262361,-434.138454621156,1673.29840587991,-52.4978333195531,-428.959379824438,1660.47972316385,64.7493756512011,-311.430323818319,1440.80526242874,-269.565951266732,-262.320259720602,1434.70330531455,0,0,0,0,0,0
172560.5925456,960,-0.104167100880295,0.577027529478073,-1.16308336302975e-08,-184.583546428659,-434.202028723525,1673.35402825012,-52.3294612826624,-429.129079355638,1660.46603959238,64.9124481508805,-311.667537020429,1440.77283095884,-269.450751801308,-262.470252617343,1434.88038692604,0,0,0,0,0,0
172560.6033245,960,-0.105475792102516,0.576208807528019,-1.15072100524017e-08,-184.464154834297,-434.22932175775,1673.36479870354,-52.1648751942519,-429.457106109605,1660.46706134871,64.8569583505483,-312.319072353694,1440.7786107546,-269.194601806523,-262.53779858308,1435.09298001737,0,0,0,0,0,0
172560.6139705,960,-0.104620106890798,0.575267963111401,-1.13651464946604e-08,-184.253267857856,-434.252541608379,1673.44655213232,-51.9467204765539,-429.709312816347,1660.55702521238,65.1649980735318,-312.587602311657,1440.76260310695,-268.915495235403,-262.479418082627,1435.05977476814,-0.405400007963181,0.441599994897842,0.800400018692017,65.3300018310547,-2.08999991416931,355.839996337891
