Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
15002.5703147,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
15002.5819833,960,0,0.15,0,-58.8762368460423,146.466576789383,1182.75480281738,73.925805635812,161.253317545952,1168.67631026873,158.359387200961,268.806442972729,941.367462070306,-154.933419938875,284.497081391919,959.899267894892,0,0,0,0,0,0
15002.5935639,960,0,0.15,0,-58.7962756311761,146.497672454392,1182.76506205068,74.0021269210647,161.311157700777,1168.65411789698,158.347201301734,268.812017753224,941.385806941668,-154.902516014003,284.575050447816,959.853142579592,0,0,0,0,0,0
15002.6052778,960,0,0.15,0,-58.7305392003464,146.55014272757,1182.85360211362,74.1533233896166,161.358488114061,1168.65451632681,158.45969011018,268.736464317126,941.497747283376,-154.903376927297,284.585216665672,959.830464115602,0,0,0,0,0,0
15002.6176485,960,0,0.15,0,-58.7524668808155,146.555288605633,1182.84326542625,74.2290460341404,161.401498582964,1168.71171590233,158.356243378158,268.932207947584,941.43190343459,-154.881097926418,284.555936812338,959.852739267347,-0.0335999988019466,0.189999997615814,0.981199979782104,-34.5999984741211,145.460006713867,849.739990234375
15002.6322105,960,0,0.15,0,-58.6121360970654,146.573153540465,1182.91305074732,74.2395888067738,161.426378569203,1168.72759040778,158.359406132379,268.945065245572,941.490882105852,-154.896042928129,284.48259548722,959.834733876838,0,0,0,0,0,0
15002.6436162,960,0,0.15,0,-58.6625672630836,146.647337877114,1182.98412202163,74.2375344185653,161.473318181783,1168.71960380303,158.418395120633,268.947227095223,941.39551120387,-154.875342687755,284.509751225996,959.778062409336,0,0,0,0,0,0
15002.6544515,960,0,0.15,0,-58.7664064432247,146.689060755558,1183.00934804567,74.2389050386396,161.523452029884,1168.75484016246,158.306740127158,268.899355132357,941.464618502882,-154.903434569887,284.465423526946,959.856018471694,0,0,0,0,0,0
15002.6651813,960,0,0.15,0,-58.8102112872732,146.737354950124,1183.03785042914,74.2895761032801,161.610866744194,1168.77680173012,158.380595655794,268.91430358191,941.455591353403,-154.83503675839,284.570657588479,959.704587457898,0,0,0,0,0,0
15002.676581,960,0,0.15,0,-58.7822071405088,146.826912130279,1183.25136793605,74.2301112430559,161.623304310099,1168.88432183876,158.420269974525,268.808652310999,941.463398056433,-154.907585255042,284.515719706265,959.816688405077,-0.0300999991595745,0.190799996256828,0.981199979782104,-35.2900009155273,156.350006103516,914.859985351562
