Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
163380.8814919,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
163380.8932159,960,-0.1,0.5,0,-181.780605767138,-322.570407708571,1256.06799691307,-48.45532786638,-323.468836921907,1246.10719856829,53.3794020887399,-188.750411375061,1027.56937023492,-255.771563722532,-176.050212792364,1027.98720102572,0,0,0,0,0,0
163380.9049868,960,-0.1,0.5,0,-181.916876195192,-322.675139039444,1256.0808467405,-48.5662325814429,-323.664622171965,1245.84226655597,53.4087789280923,-188.708904493175,1027.56145124655,-255.742176566285,-176.012581302403,1027.91064076234,0,0,0,0,0,0
163380.9166368,960,-0.1,0.5,0,-181.923408238969,-322.666867416615,1255.73594079579,-49.0664268336773,-323.874739736648,1245.61119662854,53.4093537197672,-188.73731367922,1027.54947017244,-255.762917619412,-176.101742302606,1027.96389776982,0.0645999982953072,0.511500000953674,0.856800019741058,0,0,0
163380.9288232,960,-0.1,0.5,0,-182.139598423539,-322.890689247282,1255.45456485995,-49.3793017499571,-323.922651788945,1245.32501659815,53.382464996376,-188.708444966838,1027.55156436184,-255.729631497022,-175.911149672464,1027.82418967787,0.0843999981880188,0.47189998626709,0.877600014209747,28.7999992370605,108.610000610352,220.979995727539
163380.9429765,960,-0.1,0.5,0,-182.47897443747,-322.886903568615,1255.01826048929,-49.7336116312899,-324.277006841158,1245.31832151495,53.4333892625433,-188.714348268254,1027.56214922111,-255.803901445469,-175.891560311649,1027.76185938343,0,0,0,0,0,0
163381.0090337,960,-0.1,0.5,0,-182.465124399208,-322.827117109429,1254.97061585881,-49.7759062356085,-324.262563319634,1245.32141393845,53.4512197398879,-188.716748456217,1027.54776401994,-255.755223582386,-175.897809270207,1027.73361927662,0,0,0,0,0,0
163381.0199242,960,-0.1,0.5,0,-183.497669313649,-322.912511277056,1253.9792171731,-50.0199873015037,-325.865747421346,1245.10646081731,53.3159954076892,-188.795261757616,1027.55524701648,-255.809263167373,-175.833231920018,1027.78680639387,0,0,0,0,0,0
163381.0306946,960,-0.1,0.5,0,-183.806147715468,-323.035955166243,1253.63399490162,-50.4957717523661,-326.21776794829,1244.79068372764,53.2804292640307,-188.787698462664,1027.5826846816,-255.811650298296,-175.791902594875,1027.67615535877,0,0,0,0,0,0
163381.0414297,960,-0.1,0.5,0,-183.901310789209,-323.10288362375,1253.53973150815,-50.5630590754888,-326.497659971147,1244.82019055122,53.2266861459229,-188.749293524833,1027.51236116408,-255.780010000808,-175.732168429815,1027.59895473866,0,0,0,0,0,0
163381.0521832,960,-0.1,0.5,0,-183.929863816131,-323.14956874551,1253.53559744089,-50.6591487223271,-326.537729116256,1244.77173605553,53.2421027189902,-188.750652522847,1027.60344501369,-255.857041790559,-175.79664307315,1027.71481147789,0,0,0,0,0,0
163381.0630136,960,-0.1,0.5,0,-184.119442348728,-323.244693644707,1253.33418706176,-50.7556374062987,-326.920601281797,1244.61020844434,53.2281955458966,-188.752355238216,1027.50386105705,-255.857031653694,-175.803189268818,1027.72741298426,0,0,0,0,0,0
163381.0737023,960,-0.1,0.5,0,-184.2844683518,-323.303405816539,1253.28157259477,-51.0022339259721,-327.152838673317,1244.36684356334,53.2071089036031,-188.743568451696,1027.47683783976,-255.887558613861,-175.792590758769,1027.65750750107,0,0,0,0,0,0
