Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
12242.3590328,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
12242.370677,960,-0.172933938875794,1.99873869478703,-1.33991704346618e-08,-26.475019281671,4.47108529352779,1584.03342349087,103.992659080933,8.67500211931532,1561.60596722448,-126.595595944391,131.418332401028,1327.52610296391,195.09307592534,124.226260596026,1321.45143958201,0,0,0,0,0,0
12242.382389,960,-0.173017555810511,1.99812611550093,-1.33066735337453e-08,-26.8096816497836,4.44943928146507,1583.88142905566,103.667905390723,8.72942249103958,1561.63132405388,-126.684673244543,131.700499303303,1327.49563553676,194.964737540663,124.345337390963,1321.62753838208,-0.00769999995827675,0.37830001115799,0.925700008869171,0,0,0
12242.3940438,960,-0.173612838573754,1.99923368901014,-1.34739124846283e-08,-27.0874494842508,4.46590320941337,1583.76435671246,103.422699185157,8.76501049669995,1561.65173564519,-126.762535064316,131.928192603138,1327.45255830231,194.866298282749,124.404404241901,1321.74849908788,-0.149599999189377,0.39860001206398,0.904799997806549,70.3300018310547,157.979995727539,374.640014648438
12242.4061281,960,-0.173523928932846,2.00020346403122,-1.36203444422074e-08,-27.4496548094707,4.5293867042448,1583.66265948867,103.09737864171,8.78916929661726,1561.67206849252,-126.858070365256,132.224400574347,1327.38454729568,194.738721631152,124.475709286285,1321.88993043508,0,0,0,0,0,0
12242.4204967,960,-0.174117083624005,2.00006549417973,-1.35995115737564e-08,-27.8101900400912,4.60606274906641,1583.57902479,102.73998618661,8.79954932921498,1561.65748524088,-126.941499250756,132.481027623949,1327.29807892346,194.618307180473,124.513997760221,1322.03729748853,0,0,0,0,0,0
12242.4318429,960,-0.174212907403708,1.99912741392851,-1.34578653933881e-08,-28.0725144795949,4.6771198393217,1583.51289172152,102.452395959223,8.80273138971051,1561.63274663706,-127.002338668368,132.634798474865,1327.22875917605,194.528966498126,124.538479201976,1322.13800620804,0,0,0,0,0,0
12242.4425476,960,-0.17338087964803,1.99983610570431,-1.35648748768199e-08,-28.3577755541393,4.74282202501422,1583.45357772075,102.161918411203,8.78504940152319,1561.60392948802,-127.073666469958,132.781811210418,1327.14125846076,194.436419978475,124.563770660184,1322.2280960281,0,0,0,0,0,0
12242.4531677,960,-0.172242601830512,2.00069287776947,-1.36942438623828e-08,-28.7455028454053,4.84871438223617,1583.36981048835,101.824330326053,8.77180822582146,1561.57237567402,-127.172808605966,132.972306222024,1327.03413293212,194.316580948489,124.58350700671,1322.33438654023,0.0471000000834465,0.432300001382828,0.900499999523163,-11.8199996948242,165.759994506836,372.850006103516
12242.4637709,960,-0.171061826832592,1.99994392305613,-1.35811548443842e-08,-29.0120658196986,4.93323692510929,1583.30136217673,101.569627211082,8.75668079451465,1561.55718574123,-127.25629218734,133.124884845937,1326.93581763005,194.233070224698,124.590630444783,1322.40637226741,-0.187900006771088,0.414499998092651,0.890399992465973,-53.3400001525879,164.600006103516,379.010009765625
12242.474642,960,-0.172405227981508,1.99987173438072,-1.35702546574082e-08,-29.2609390533478,5.01596923571707,1583.2426297609,101.344758364504,8.74526100686746,1561.54917317255,-127.327510130022,133.266863182759,1326.84845971903,194.154382850354,124.591423905853,1322.45928404918,-0.103000000119209,0.440600007772446,0.891799986362457,0,0,0
12242.4854308,960,-0.172792250718921,2.00003555774689,-1.35949912980551e-08,-29.569121114025,5.12559127975895,1583.18439766088,101.038769242348,8.71934887558828,1561.54048303584,-127.429563701599,133.440597543098,1326.73021092836,194.045150325055,124.60662093414,1322.5121026803,0,0,0,0,0,0
12242.4961436,960,-0.173153808303177,2.00200408309698,-1.38922303630894e-08,-29.7866991555644,5.20388169874212,1583.14392808185,100.835790540637,8.70617879360396,1561.54064508648,-127.512520275213,133.566041499327,1326.6472738421,193.975781947663,124.608613700202,1322.54860300797,0,0,0,0,0,0
12242.5066977,960,-0.173347355760634,2.00086768329144,-1.37206387624583e-08,-30.0095937044659,5.28554831217943,1583.09616013278,100.634231346213,8.7120317850035,1561.52729811576,-127.583824770559,133.679727715637,1326.57242340988,193.901618397697,124.612682976116,1322.55529216901,0,0,0,0,0,0
12242.5173052,960,-0.172590581662953,2.00216656535864,-1.3916764502585e-08,-30.1988033296739,5.35650561983877,1583.08051429312,100.438120046047,8.69985976703922,1561.52267330828,-127.650793477006,133.781629527078,1326.50019040459,193.832982231343,124.604075963026,1322.5739915342,0,0,0,0,0,0
12242.5284291,960,-0.171244170945138,2.00166606515646,-1.38411910728915e-08,-30.374814996054,5.42344105416146,1583.07095987465,100.271458929572,8.70247822847303,1561.52810408843,-127.71956230993,133.874922226856,1326.43349642884,193.774011567755,124.596638142979,1322.58405407206,0,0,0,0,0,0
12242.5390492,960,-0.174067532606423,2.00225921332836,-1.39307539571259e-08,-30.5718545329322,5.5092393966037,1583.06311346343,100.090193140881,8.7256181205722,1561.54681373245,-127.789415687408,133.976847503567,1326.3468353975,193.695820526951,124.549485037533,1322.59621250889,0,0,0,0,0,0
12242.549602,960,-0.173445033803582,2.00292056411505,-1.40306151499141e-08,-30.7092171896655,5.56737470777639,1583.06944867566,99.9734216386979,8.73782875534615,1561.57606205793,-127.85876009439,134.030898540842,1326.28113513695,193.637537934465,124.515441359989,1322.59863666348,0,0,0,0,0,0
12242.5601251,960,-0.172737343665212,2.00204057604074,-1.38977406444196e-08,-30.8083958465333,5.62738729869346,1583.08956242716,99.8709174089281,8.77234615909844,1561.59240900715,-127.921525559821,134.066009345062,1326.20807048216,193.588648549471,124.480083707397,1322.60798037005,0,0,0,0,0,0
12242.5707311,960,-0.173177606388927,2.00235493838787,-1.39452080393085e-08,-30.9016066757081,5.68557400385194,1583.11947225263,99.7922709154167,8.7943909575611,1561.6282709331,-127.965236522789,134.074510455374,1326.1550606701,193.550325489932,124.43848133417,1322.6314505743,0,0,0,0,0,0
12242.5813846,960,-0.173594902232289,2.00498063474894,-1.43416771685426e-08,-30.9750617124532,5.7364451051305,1583.14761359231,99.711231882333,8.8232892030021,1561.68588531552,-128.00569943567,134.072870795202,1326.09247358087,193.515344898277,124.414869064118,1322.65326048551,0,0,0,0,0,0
12242.5919561,960,-0.172256957702339,2.00326765686274,-1.4083024697903e-08,-31.0736005122281,5.77876329143612,1583.20657881184,99.6258826591941,8.87174184469741,1561.77784917413,-128.054880751129,134.021226329819,1326.03838575636,193.47185754246,124.379418258459,1322.68578610829,-0.112300001084805,0.354299992322922,0.928399980068207,60.9799995422363,122.459999084473,388.980010986328
12242.6025303,960,-0.171801417563111,2.00186687320471,-1.38715122452909e-08,-31.1048427382321,5.80583827721149,1583.26726194957,99.5900474255384,8.89648073216811,1561.85943195947,-128.082126346624,133.981918342633,1326.00720671268,193.453796262367,124.363048674246,1322.72236978477,0.0590000003576279,0.343400001525879,0.937300026416779,59.4799995422363,123.099998474121,389.019989013672
12242.612945,960,-0.173114348165691,2.00300887584686,-1.40439498507322e-08,-31.1381925663744,5.81973890158663,1583.30062668939,99.5557192506872,8.91600187703465,1561.91135408635,-128.107847704135,133.943314193325,1325.98430928143,193.430833282136,124.352781458505,1322.75252425487,-0.031199999153614,0.350300014019012,0.936100006103516,-46.1100006103516,130.880004882812,392.260009765625
