Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
19082.6906776,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
19082.7024488,960,0,0.1,0,-40.5058505566954,183.694419709604,1242.31393644905,92.8754017624569,194.55973716254,1222.77750658214,224.907752911667,353.756656036749,969.648264643955,-187.679832572635,337.470386210734,982.833105946758,-0.0917999967932701,0.159600004553795,0.982900023460388,-65.9899978637695,125.959999084473,985.890014648438
19082.714108,960,0,0.1,0,-40.9177659654063,183.753753494481,1242.37920555756,92.5174305837315,194.36127647164,1222.99861005512,224.936570764018,353.579380367721,969.659008894496,-187.566480366106,337.413268406899,982.874538299246,0,0,0,0,0,0
19082.7257959,960,0,0.1,0,-41.1690033515544,183.769317969308,1242.38278256852,92.2905025571026,194.255432846149,1223.08324550444,224.952366227797,353.496919473712,969.665209249702,-187.544068395786,337.405878771202,982.913026971844,0,0,0,0,0,0
19082.7385887,960,0,0.1,0,-41.4995258878178,183.823215295341,1242.39187556897,92.0547077053217,194.131033203165,1223.20378081051,224.892220169873,353.375060022433,969.648927104267,-187.503386476696,337.42787768946,982.973856826371,-0.0903000012040138,0.159899994730949,0.982999980449677,-64.0199966430664,116.73999786377,988.109985351562
19082.752646,960,0,0.1,0,-41.6612366295532,183.851398352814,1242.4109103346,91.937506561236,194.055867164187,1223.25490155339,224.941531694969,353.325582666582,969.673750325028,-187.490135352647,337.444974324871,982.996235992122,0,0,0,0,0,0
19082.7639781,960,0,0.1,0,-42.0202982562283,183.911846520145,1242.41838845924,91.5672465022045,193.872263586668,1223.35172256885,225.008910809166,353.213058972987,969.696602387874,-187.467297338341,337.550849428808,983.031354844084,0,0,0,0,0,0
19082.7746777,960,0,0.1,0,-42.0986012098623,183.959966490448,1242.43269489298,91.5242919960673,193.864451806663,1223.36691238992,225.019525610874,353.199819857897,969.700325419949,-187.442645370771,337.55940190984,983.006459595104,-0.0560999996960163,0.123099997639656,0.990800023078918,-57.9500007629395,107.589996337891,990.590026855469
19082.7853316,960,0,0.1,0,-42.288348663813,183.98769930292,1242.42727099423,91.2749486480682,193.703265750116,1223.37073708597,225.003249421097,353.122374171102,969.703718684688,-187.436648698899,337.640578783121,982.971490461155,0,0,0,0,0,0
19082.7963664,960,0,0.1,0,-42.4065862894183,184.029473599334,1242.38716116537,91.1413159333234,193.621556633521,1223.31793639844,225.01681166473,353.103425739182,969.725246188082,-187.461813350238,337.740615420017,982.913773527618,-0.0772000029683113,0.14920000731945,0.98580002784729,-55.9500007629395,100.269996643066,992.210021972656
