Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
1248.978377,960,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1248.9909934,960,-0.165765224045608,1.90956788981217,6.5246824592014e-11,-73.827474006749,-74.5683289752433,1853.01599301934,56.9851405583344,-60.779402880319,1835.94383301531,172.09015369883,101.865766051854,1615.39431706942,-227.044335958762,112.235726017649,1581.25901531211,0,0,0,0,0,0
1249.0024732,960,-0.164776478871354,1.91053853238933,-8.13161303139318e-11,-73.8570115536643,-74.673097411368,1853.09154272364,56.9523770727819,-60.8416603590092,1836.01771616814,172.007690233975,101.795021358473,1615.26134478974,-227.275285456216,112.011041975805,1581.26781415456,0,0,0,0,0,0
1249.0142944,960,-0.165479429436382,1.90984823458362,2.29159408417475e-11,-73.8617820566317,-74.8005921061779,1853.19228819482,56.937182779254,-60.8869735375738,1836.08595440957,-227.576546783241,111.67828423572,1581.19606345333,171.864289183968,101.774484114947,1615.07213105336,0,0,0,0,0,0
1249.0266766,960,-0.164637506087311,1.91067509437213,-1.01936416501542e-10,-73.8380593878735,-74.8765573037021,1853.25835767548,56.9461391682256,-60.8858645095407,1836.1213435738,-227.791750798448,111.423997241973,1581.13376570711,171.728794597175,101.782069230707,1614.9592546202,0,0,0,0,0,0
1249.0405226,960,-0.165231583529967,1.91009271394083,-1.39994159012332e-11,-73.7787786138095,-74.9491714255331,1853.322839027,56.9590260957766,-60.8389028483412,1836.11675724449,-228.062331025492,111.08173746904,1581.06668946048,171.53559234682,101.844024736119,1614.84988177212,-0.0723000019788742,0.142100006341934,0.987200021743774,-118.470001220703,412.279998779297,3635.419921875
1249.0519749,960,-0.164718640581705,1.91060545676388,-9.1421429957887e-11,-73.7302673103647,-75.0221484735375,1853.384183901,56.9824366001225,-60.7459215520191,1836.11861322201,-228.300222092198,110.786459046067,1581.04186323294,171.263382951804,101.888815387556,1614.79539554614,0,0,0,0,0,0
1249.0628944,960,-0.165438462186139,1.90990962716402,1.36459188962117e-11,-73.7100021830543,-75.0645612828023,1853.44990300842,56.9837386815547,-60.6472390234252,1836.13003338117,-228.460665811444,110.575218288698,1581.10947175804,171.026816649711,101.897753725415,1614.8083358921,0,0,0,0,0,0
1249.0736858,960,-0.164869697916438,1.91046993454453,-7.09581436863804e-11,-73.6770795553783,-75.1006474251857,1853.50388771409,56.9760526310616,-60.5417170758132,1836.13873515132,-228.628632058285,110.338367360264,1581.22234003552,170.816863353153,101.88056942341,1614.8420511627,0,0,0,0,0,0
1249.0845257,960,-0.164766472363262,1.91057272351114,-8.64788461914077e-11,-73.6526258597728,-75.1247558356868,1853.59235229316,56.9551074682344,-60.3906280392788,1836.21033665263,-228.844116270315,110.06055548,1581.39580292902,170.559037712695,101.861095454898,1614.92835805517,0,0,0,0,0,0
1249.0953482,960,-0.165536340929102,1.90981495452812,2.79410895307974e-11,-73.629097242002,-75.1090330840105,1853.69849614628,56.9079120671093,-60.2701171636586,1836.31512962417,-229.001044425732,109.856521620845,1581.54300794568,170.447202059316,101.820073333633,1615.11145585657,0,0,0,0,0,0
1249.1060315,960,-0.165122956262203,1.91021274256869,-3.21232348915642e-11,-73.6476753858511,-75.0914337329143,1853.78080270063,56.8304502797087,-60.1599320372352,1836.46239609695,-229.156817617449,109.659994145851,1581.71323797476,170.279716247631,101.788237707692,1615.25223558892,0,0,0,0,0,0
1249.1168046,960,-0.165124108526506,1.91021568275406,-3.25671905407959e-11,-73.6697835013997,-75.0835349556289,1853.82676462841,56.7232591370282,-60.049833932787,1836.62579877263,-229.277659700769,109.480562436598,1581.90209404893,170.107791570593,101.758159367944,1615.37516380472,0,0,0,0,0,0
1249.1274209,960,-0.16480112517369,1.91052041787421,-7.85809145667993e-11,-73.8858724917702,-75.025436269826,1854.099684127,56.5582409271232,-59.9110553025854,1836.93521546628,-229.445103068035,109.24906314863,1582.19997895288,169.808958163531,101.675931587684,1615.50078412703,-0.0798999965190887,0.129199996590614,0.988399982452393,-176.710006713867,405.529998779297,3604.9599609375
1249.1379049,960,-0.164864446741412,1.91045654925634,-6.89370213548908e-11,-74.2042081409181,-74.8416156234195,1854.58367441047,56.3933418093917,-59.7878139078489,1837.19220948778,-229.558742723267,109.095160474655,1582.46454420486,169.619929241421,101.580455093112,1615.65493789,-0.0881000012159348,0.133699998259544,0.987100005149841,-175.470001220703,380.309997558594,3604.7900390625
1249.1484125,960,-0.164569615960354,1.91073941098526,-1.11647955117598e-10,-74.221438312224,-74.805965720854,1854.63444193986,56.2441970094386,-59.6858651997709,1837.42600239626,-229.664620105792,108.953061958044,1582.73727825714,169.453978142167,101.486040521126,1615.78718446213,-0.106799997389317,0.0480999983847141,0.993099987506866,-257.579986572266,69.9300003051758,3580.89990234375
1249.1589659,960,-0.16435031530913,1.91096585624851,-1.45840239370967e-10,-74.3331337421788,-74.7236645166201,1854.79030371711,56.1494558864901,-59.6155747495303,1837.57485430278,-229.743185366887,108.845978330973,1582.90769160619,169.329668697422,101.410611423971,1615.86812243905,0,0,0,0,0,0
1249.2647469,960,-0.164454244156368,1.91086245441344,-1.30226996300712e-10,-74.5448648049027,-74.675619549227,1855.02861917145,56.0942508740275,-59.5794517180729,1837.66122132738,169.275644785161,101.376026618596,1615.90775879165,-229.751394471037,108.809279567896,1582.98784637477,-0.111100003123283,-0.13680000603199,0.984300017356873,-436.480010986328,-521.190002441406,3533.52001953125
1249.277081,960,-0.164372501624748,1.91101845629979,-1.53782626326463e-10,-76.0441655995341,-74.4405469937191,1855.5947075275,54.4188827692088,-59.2851906044067,1838.67103361525,-231.317810478271,106.820897621319,1583.76080550438,168.006847958998,100.167051378037,1617.05662072008,0,0,0,0,0,0
1249.2891751,960,-0.164271846376359,1.91112345570233,-1.6963709537765e-10,-76.3943205041758,-74.4916884035285,1855.67650135429,54.2851765369405,-59.3133780185091,1838.55966239311,-231.608596839313,106.591957284167,1583.43930328409,167.974943544815,100.120521872233,1617.00042141867,0,0,0,0,0,0
1249.3010188,960,-0.16425175140379,1.91113929063082,-1.72028103113005e-10,-76.5214243939778,-74.6310819843971,1855.41511822698,54.1649400273138,-59.3332766461058,1838.38387689106,167.964834735296,100.147031547678,1616.86935832814,-231.859355487087,106.363341250624,1583.08667189978,0,0,0,0,0,0
1249.3117363,960,-0.1642888570996,1.91110901263542,-1.67456252899746e-10,-76.5240984479028,-74.826038544219,1855.00649337134,54.0706828081576,-59.3395887329683,1838.22479634949,167.964870301162,100.211792028408,1616.73383647204,-232.054931175251,106.212018385587,1582.77316585971,0,0,0,0,0,0
1249.3223796,960,-0.164330803169869,1.91107096903957,-1.6171182961325e-10,-76.6494102676887,-74.9445207491308,1854.7530241915,53.9641326406797,-59.354464780438,1838.03049358188,167.961166161424,100.300283485816,1616.54069566109,-232.235949755592,106.108116290255,1582.46202708149,0,0,0,0,0,0
1249.3329917,960,-0.164224751139991,1.91117512408178,-1.77438803798905e-10,-76.8465221666642,-74.9832978696573,1854.65220611712,53.8763630176728,-59.3605845983522,1837.82507272512,167.968590438274,100.419750810606,1616.30782003147,-232.393522336434,106.067358715417,1582.16329384641,0,0,0,0,0,0
1249.3435362,960,-0.164876999965636,1.91054313411238,-8.20109711787028e-11,-76.8326034120999,-75.13843542196,1854.1868630082,53.7858680115191,-59.3378395345314,1837.60097491377,-232.56142338725,106.071186492339,1581.87529116666,167.967878080265,100.579369339046,1616.0552474027,0,0,0,0,0,0
1249.3542602,960,-0.164563007528195,1.91085506041069,-1.29110532921503e-10,-76.9500988704278,-75.2480951548534,1853.79289726234,53.6520366754783,-59.3028044015959,1837.32215311128,-232.741964374103,106.103520464405,1581.47745049518,167.976001224402,100.80359461562,1615.72882760715,0,0,0,0,0,0
1249.3647686,960,-0.164004284152761,1.91140214897692,-2.11718610034278e-10,-77.0019801892829,-75.285952978669,1853.52157236523,53.5563841201225,-59.2628543930087,1837.10117409968,-232.873497856445,106.120790052806,1581.19491215002,167.953788199205,101.022303256454,1615.49496497667,0,0,0,0,0,0
1249.3752021,960,-0.164758345802547,1.91066199846333,-9.99589892427116e-11,-77.1788023617865,-75.2766273088901,1853.40981200895,53.4448457943419,-59.2145416960474,1836.89750045842,-232.984347392236,106.119333626582,1580.88921390867,167.931249003473,101.278620189247,1615.28569083248,0,0,0,0,0,0
1249.3856312,960,-0.164809578293934,1.91061126134824,-9.22978978319107e-11,-77.3178745494109,-75.2778518314945,1853.18286496543,53.3323898714877,-59.1525775149463,1836.72748261391,-233.075303305082,106.127348679165,1580.58689422934,167.892461801571,101.546012174993,1615.09973810418,0,0,0,0,0,0
1249.3960776,960,-0.164944501429127,1.91047768116929,-7.21278515089503e-11,-77.4306153438174,-75.2800159324623,1852.92171687283,53.2000427242538,-59.0836680039023,1836.59945885029,-233.17960254888,106.141071876439,1580.29666697311,167.901826882444,101.841163883232,1614.89218446344,0,0,0,0,0,0
1249.406546,960,-0.164821664678166,1.91058723561233,-8.86701125567042e-11,-77.5821633055852,-75.1823148976986,1852.83802021604,53.0563934658253,-59.0154770666072,1836.49003116933,-233.291989149266,106.151537180048,1580.0620273582,167.888384862253,102.140633375452,1614.68128129594,0,0,0,0,0,0
1249.4170536,960,-0.164928691577225,1.91047716972767,-7.20506259722071e-11,-77.6910007772663,-75.1787599672978,1852.56716790666,52.8862221418087,-58.9519203984,1836.39394026867,-233.373699491761,106.205925869496,1579.84247122914,167.914931982693,102.469713223557,1614.46225432379,0,0,0,0,0,0
1249.4275976,960,-0.164999201115941,1.91040548597462,-6.1226680152348e-11,-77.9322957953604,-75.0246493771022,1852.46924523786,52.6668895764824,-58.8471425590849,1836.32369913573,-233.461763601113,106.293130762261,1579.64966682481,167.954871625493,102.803592526956,1614.21833925513,-0.0666999965906143,0.124099999666214,0.990000009536743,-95.0400009155273,311.100006103516,3525.21997070312
1249.4380953,960,-0.165046198401833,1.91035444038804,-5.35190108399969e-11,-78.0801291012699,-74.9221673422938,1852.35048631688,52.4976405782033,-58.7809195747481,1836.29452975066,-233.518610158751,106.368496619846,1579.56602010242,168.029835488075,103.061788721907,1614.06243590244,-0.0732000023126602,0.130199998617172,0.98879998922348,-103.040000915527,319.609985351562,3519.8798828125
1249.4485929,960,-0.165091395770141,1.91030771130696,-4.64631157412996e-11,-78.2151424559074,-74.8265078503508,1852.2314819906,52.3409927204446,-58.7092483901488,1836.26957402874,-233.57730587132,106.453298584717,1579.47972409861,168.116061577446,103.28437121128,1613.89679509029,-0.0604000017046928,0.124200001358986,0.990400016307831,-114.419998168945,323.559997558594,3515.44995117188
1249.4591295,960,-0.165048895733926,1.91034646783024,-5.23151880773634e-11,-78.3819057235266,-74.7467264643289,1852.12728770861,52.1890780296316,-58.647764523259,1836.24342643783,-233.638051109654,106.526565923745,1579.43244785259,168.244757194507,103.521768410357,1613.74576226147,-0.0734999999403954,0.131300002336502,0.988600015640259,-126.48999786377,333.720001220703,3511.1201171875
1249.4696761,960,-0.165076771175372,1.9103152876161,-4.76071066207738e-11,-78.5341278744613,-74.6578590948952,1852.0317923422,52.0811947164253,-58.59860641074,1836.25065332453,-233.694311097432,106.588586686885,1579.42207811953,168.373158500399,103.746650597364,1613.60896411556,-0.0597000010311604,0.127000004053116,0.990100026130676,-127.98999786377,348.459991455078,3506.47998046875
1249.4802262,960,-0.164949819739413,1.91043507639202,-6.56947089745211e-11,-78.6849084880758,-74.5819269596282,1851.96366630194,52.0011654615262,-58.5533132520704,1836.26122436683,-233.746201518934,106.681399445561,1579.47307026467,168.525027733132,103.948565530534,1613.47162823839,-0.0746000036597252,0.138400003314018,0.987600028514862,-99.3300018310547,370.600006103516,3500.8701171875
1249.4907875,960,-0.16501803764826,1.91036878031096,-5.56842790105985e-11,-78.7569903338942,-74.4926760740138,1851.90569730695,51.9403534300948,-58.5390847788517,1836.2643355487,-233.808003021991,106.79983012769,1579.53801464919,168.680390369549,104.151195971763,1613.36055330142,-0.0548000000417233,0.136700004339218,0.989099979400635,-88.4599990844727,382.829986572266,3496.26000976562
1249.5013247,960,-0.165385962717701,1.91000932083822,-1.40740744678148e-12,-78.7893709177127,-74.3670892805374,1851.83550710946,51.9279247857546,-58.5104939427739,1836.27773585386,-233.930903660318,106.992076100123,1579.69797343733,168.917595206616,104.406897936564,1613.25217608489,0,0,0,0,0,0
1249.5118201,960,-0.165732951040845,1.90967251572525,4.94487508810103e-11,-78.759869391171,-74.2843009986822,1851.81954332255,51.9725764767749,-58.5023079142136,1836.30385343345,-234.063423675682,107.195151106511,1579.83692998692,169.102892404122,104.602031948598,1613.16212203486,0,0,0,0,0,0
1249.5225126,960,-0.16501276306466,1.91037167890696,-5.61219548389683e-11,-78.6804217257174,-74.2030057434942,1851.79211103109,52.0238149569361,-58.5114032214762,1836.31706609027,-234.214173809991,107.447424348395,1579.9765008311,169.302377329462,104.790350238552,1613.11990756357,0,0,0,0,0,0
1249.5330074,960,-0.165564970890991,1.90983671172231,2.46558445332757e-11,-78.5905394960185,-74.160182646572,1851.78251143813,52.1221360341347,-58.5462920440177,1836.31297464765,-234.392397074373,107.762253609561,1580.0685042385,169.531829699813,105.018454218672,1613.03874350114,0,0,0,0,0,0
1249.5434696,960,-0.165422701792559,1.90998601299376,2.1119792323588e-12,-78.4453646507958,-74.1316622446807,1851.74036149762,52.2586259419519,-58.5867282764848,1836.29947505194,169.753777686577,105.250780863978,1612.94554409366,-234.583760009918,108.122955653452,1580.11696831703,0,0,0,0,0,0
1249.5540006,960,-0.165559335807338,1.90985177538474,2.23812947354641e-11,-78.3042300490267,-74.1389645014437,1851.69518253926,52.4633800565519,-58.6462167537943,1836.22785193678,170.017056945794,105.522464230859,1612.79999104184,-234.745620162619,108.524536612285,1580.10480476494,0,0,0,0,0,0
1249.5645031,960,-0.165793709885329,1.90962887115544,5.60388977260993e-11,-78.0842166306065,-74.2431990372211,1851.48156867424,52.7861977091973,-58.7504045889003,1836.01721333461,170.384762763358,105.891275381123,1612.58947891392,-234.934738884647,108.921901210178,1580.10635970798,0,0,0,0,0,0
1249.5749777,960,-0.16571018160088,1.90971177562838,4.35206703002808e-11,-77.8127457704832,-74.2141785408887,1851.35142714505,53.0235963074867,-58.8055302285752,1835.78816033322,-235.044539297324,109.169962569984,1580.08104919673,170.660508920531,106.149678956835,1612.43355367848,0,0,0,0,0,0
1249.5876468,960,-0.165952798873186,1.90947503668955,7.9267256359809e-11,-77.4308156744457,-74.2216657549005,1850.99618031665,53.3748524611653,-58.8727301707767,1835.440700997,-235.147998688207,109.508581381266,1580.04040015524,171.022440961549,106.469309489746,1612.17649799259,-0.0706999972462654,0.12780000269413,0.989300012588501,-133.119995117188,370,3461.46997070312
1249.5982274,960,-0.166044276286848,1.90938213900896,9.3294416193202e-11,-77.1725454037409,-74.2310536723615,1850.70848692287,53.6465398300854,-58.9194234436678,1835.11588364684,-235.17273512219,109.791761466389,1579.99772907329,171.302320299544,106.729414960847,1611.94022276374,-0.0885000005364418,0.137799993157387,0.986500024795532,-145.240005493164,377.690002441406,3456.52001953125
1249.6087926,960,-0.166426650909707,1.90901100271381,1.49334438925698e-10,-76.8194417305186,-74.2069905718603,1850.39377333881,53.9538616599392,-58.9350586742889,1834.79303823235,-235.160477418175,110.150323531685,1579.94237319771,171.624586490505,106.977575060339,1611.73838967362,-0.0755999982357025,0.130799993872643,0.988499999046326,-148.809997558594,390.899993896484,3451.4599609375
1249.6194659,960,-0.166671687234193,1.9087691079732,1.85859529411627e-10,-76.4932618751919,-74.2131963414077,1850.13356888218,54.3569038495311,-58.9068389126343,1834.42984966908,-235.109355009868,110.54073496433,1579.8520379517,171.976155805755,107.24902627309,1611.49332399559,-0.0898000001907349,0.134900003671646,0.986800014972687,-160.630004882812,404.309997558594,3446.7099609375
1249.62997,960,-0.16715093488805,1.908296945123,2.57154137901695e-10,-76.0811334492922,-74.1052586605935,1849.89945219514,54.7530723122714,-58.8568116565674,1834.09052898169,-235.02148665094,110.969124002398,1579.73093923847,172.27962273876,107.49698678951,1611.28005708921,-0.0741999968886375,0.13289999961853,0.988300025463104,-164.210006713867,408.149993896484,3443.669921875
1249.6411752,960,-0.167078265650198,1.90836214957759,2.47308538953089e-10,-75.3826740048469,-73.9750798062677,1849.59300724034,55.2887234577525,-58.7471172620874,1833.67299245778,-234.855495790523,111.558376898739,1579.54588582201,172.649404592018,107.940353463353,1610.98834296103,0,0,0,0,0,0
