Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
365118.9811733,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365118.9938808,960,0,0.1,0,-31.2595264696658,149.522084450203,1224.51719350383,100.595421981718,160.511830751095,1205.35192441849,-196.111700490879,305.797987713256,991.815944675387,210.456750144235,340.16633193673,982.704042498354,0,0,0,0,0,0
365119.0064671,960,0,0.1,0,-31.5295671162755,149.600457889093,1224.82083586707,100.315319893088,160.57861125396,1205.42976549161,-196.147043139082,305.739291444566,991.768522857908,210.20946558664,340.022117763422,982.51835177778,0,0,0,0,0,0
365119.0194322,960,0,0.1,0,-31.2563955594507,149.94409590774,1224.67196445921,100.724107632255,160.979837773298,1205.29177022686,-196.123622366494,305.708704232329,991.728851562084,210.107905132322,340.257873947264,982.38179980805,0,0,0,0,0,0
365119.031665,960,0,0.1,0,-31.2253476977297,149.893637178953,1224.67651930574,100.709084152748,160.95424333474,1205.29379736025,-196.115401886952,305.700432517354,991.74152938736,210.145355622202,340.284306816856,982.383699846394,-0.0031999999191612,0.0366999991238117,0.999300003051758,-4.17999982833862,-25.4400005340576,230.25
365119.0468528,960,0,0.1,0,-31.2216005817528,149.870870360137,1224.62036865214,100.686825393295,160.893572610341,1205.30483545091,-196.127397387545,305.712075772972,991.733867900211,210.178466853262,340.265080702039,982.394137452057,0,0,0,0,0,0
365119.0576784,960,0,0.1,0,-31.228101569539,149.83401557565,1224.6220538322,100.657257567733,160.842296964675,1205.32034406161,-196.128859286375,305.710136021921,991.727304452465,210.193372566309,340.25093391218,982.390952410609,0,0,0,0,0,0
365119.0684706,960,0,0.1,0,-31.2431364048172,149.834278081605,1224.64727000851,100.641299836439,160.806301927091,1205.31886891986,-196.122559712583,305.716157420303,991.729131717736,210.214809655675,340.205004689223,982.4216730296,0,0,0,0,0,0
365119.0890623,960,0,0.1,0,-31.26671709448,149.834249411823,1224.64882845274,100.653297081654,160.831172001398,1205.32585917599,-196.115626254452,305.709786307509,991.74311739011,210.177925291011,340.199774250784,982.406892334382,-0.011400000192225,0.0560999996960163,0.998399972915649,-11.4899997711182,-7.09999990463257,511.570007324219
365119.0999717,960,0,0.1,0,-31.3522648588432,149.797872526956,1224.71453733364,100.495216263852,160.663782131708,1205.38094183579,-196.096672183232,305.695286652176,991.713128553396,210.274161330883,340.130078047979,982.503409473328,0,0,0,0,0,0
365119.110879,960,0,0.1,0,-31.4206914354647,149.773402837286,1224.71691063813,100.422352647437,160.626582158651,1205.42203370425,-196.067706401595,305.672897010489,991.713409754121,210.350184947354,340.059340874128,982.569360480358,-0.0063999998383224,0.0701000019907951,0.997500002384186,-43.3899993896484,92.3099975585938,1765.68994140625
365119.1216298,960,0,0.1,0,-31.3981617974716,149.797658219468,1224.7681755335,100.412594923484,160.619665557737,1205.45299693317,-196.052737019854,305.659124529982,991.713739232437,210.325123639168,340.01441301201,982.550051697004,-0.0135000003501773,0.0775000005960464,0.996900022029877,-45.060001373291,101.730003356934,1823.35998535156
365119.1323598,960,0,0.1,0,-31.4609652512191,149.750263406175,1224.84417007362,100.391174048123,160.600516820227,1205.47409659927,-196.022658614223,305.623135030533,991.737463690656,210.397490325457,339.987897809923,982.585211036555,-0.00820000004023314,0.0701000019907951,0.997500002384186,-50.7900009155273,128,2111.830078125
365119.1433839,960,0,0.1,0,-31.4486494348085,149.774291061405,1224.73982871972,100.367827935443,160.576903589031,1205.466456757,-196.010619834822,305.57763921861,991.736036573541,210.432779019211,339.936841078916,982.625064143352,0,0,0,0,0,0
365119.1541385,960,0,0.1,0,-31.5226173150205,149.674372083152,1224.82802088801,100.406594837974,160.548166616899,1205.46595927813,-195.996211029547,305.586888255775,991.720227007307,210.482206650036,339.937132840675,982.669300919908,0,0,0,0,0,0
365119.164845,960,0,0.1,0,-31.5165041277447,149.656762522854,1224.83524974393,100.405902598934,160.510726352338,1205.44468852658,-195.995060490874,305.555017587732,991.739660958547,210.482072920599,339.946323288357,982.683907766371,0,0,0,0,0,0
365119.1755632,960,0,0.1,0,-31.5001237430231,149.623872567217,1224.79526556288,100.423887719028,160.466582309599,1205.40206465248,-195.997843521092,305.540715527466,991.750125753947,210.482320468696,339.908900210572,982.657705938211,0,0,0,0,0,0
365119.1865559,960,0,0.1,0,-31.4536392041867,149.622315051426,1224.67434206666,100.398248579565,160.445108281617,1205.38488828252,-195.988274583223,305.568555744856,991.72887172788,210.471848857911,339.91268037613,982.664360127232,0,0,0,0,0,0
365119.1972861,960,0,0.1,0,-31.445073753051,149.530062019154,1224.66622745119,100.39380801071,160.378307948684,1205.35103365395,-195.994138554365,305.534440840328,991.748728645361,210.442335192368,339.860559049949,982.676584777988,0,0,0,0,0,0
365119.2079419,960,0,0.1,0,-31.4250064295979,149.504414588261,1224.63027324299,100.408588302612,160.365898610014,1205.33481469708,-195.976710058999,305.54732645476,991.73339384859,210.487101972735,339.879706956267,982.705136080796,0,0,0,0,0,0
365119.218697,960,0,0.1,0,-31.3896563399495,149.454764880379,1224.58876534439,100.400970923346,160.340301950473,1205.32887200219,-195.96665916927,305.519035632509,991.742342483482,210.463086209424,339.87504430883,982.727077827634,0,0,0,0,0,0
365119.2297528,960,0,0.1,0,-31.4472426931732,149.409301324019,1224.57195066487,100.380990302382,160.315064747487,1205.2931549926,-195.953928528722,305.506422291027,991.739084872831,210.44676774507,339.882010175123,982.710027396355,0,0,0,0,0,0
365119.2404411,960,0,0.1,0,-31.335613946168,149.434273374072,1224.43654857308,100.370167252387,160.280196833026,1205.23733780011,-195.932503715225,305.469403666914,991.751330029101,210.470120043714,339.906528436288,982.72882358184,0,0,0,0,0,0
365119.2511412,960,0,0.1,0,-31.2793000820006,149.367859245011,1224.33595509493,100.387110827569,160.2678942692,1205.15725855386,-195.933939884532,305.405637959689,991.765336128263,210.443718553919,339.912430391864,982.679014841254,-0.00620000017806888,0.0736000016331673,0.997300028800964,-49.0999984741211,172.339996337891,2596.80004882812
365119.262134,960,0,0.1,0,-31.3314358366175,149.270693282603,1224.40961197723,100.398344876372,160.239823477888,1205.1191612919,-195.903756861876,305.380029722906,991.747464446234,210.445515413891,339.858017569894,982.719927924455,-0.00779999978840351,0.0794000029563904,0.996800005435944,-49.8300018310547,176.460006713867,2658.52001953125
365119.274179,960,0,0.1,0,-31.1976005558525,149.193263123169,1224.32595124508,100.439122329932,160.189010136509,1205.0549098409,-195.894663003592,305.315362338125,991.757944199554,210.495827675948,339.876892421409,982.730526715339,0,0,0,0,0,0
365119.2849964,960,0,0.1,0,-31.1363198525585,149.136500587465,1224.32351814762,100.450616550441,160.150524781044,1204.98659715499,-195.888385993705,305.237103038008,991.814209293482,210.561918650404,339.848004711476,982.767796481458,0,0,0,0,0,0
365119.2958182,960,0,0.1,0,-31.0717625754053,149.013586692639,1224.34357167335,100.482097001805,160.132732348912,1204.96258462114,-195.845631059652,305.211849086586,991.800987114292,210.557013148973,339.837636558064,982.753583659144,0,0,0,0,0,0
365119.3064906,960,0,0.1,0,-30.9644046334062,148.96845331523,1224.28573057588,100.492903118093,160.103601543158,1204.9257508396,-195.788860187577,305.1336489006,991.809242007478,210.613576276092,339.800553693475,982.811700476319,0,0,0,0,0,0
365119.3171777,960,0,0.1,0,-30.870980719429,148.794260866247,1224.29154570412,100.53776794318,160.039344896763,1204.89415398144,-195.798957069849,305.059743326987,991.868262057535,210.594099117013,339.718022770942,982.826586121441,0,0,0,0,0,0
365119.3279431,960,0,0.1,0,-30.8265269939249,148.704111100836,1224.28929710069,100.563808329276,159.97690788896,1204.85032553208,-195.738687718108,305.031031231398,991.840042064477,210.636754514814,339.688265936411,982.84558839978,0,0,0,0,0,0
365119.3389677,960,0,0.1,0,-30.7680769514719,148.583449495734,1224.30372836717,100.62017664066,159.872300038843,1204.8198256902,-195.705229647221,304.96735580613,991.880205318592,210.734677318486,339.649097995765,982.948145257686,0,0,0,0,0,0
365119.3501149,960,0,0.1,0,-30.7037700609841,148.52430150202,1224.25546192171,100.73024854832,159.763373591276,1204.8599751662,-195.669484764886,304.8702808919,991.890113575221,210.721924055511,339.607896498724,982.945753619982,0,0,0,0,0,0
365119.3611867,960,0,0.1,0,-30.6516493102633,148.438401495241,1224.25681929258,100.792017087687,159.642059885836,1204.76242997739,-195.623921080889,304.802408434226,991.897953834122,210.83740741524,339.597843544339,983.024343766611,0.00230000005103648,0.069300003349781,0.997600018978119,-27.7399997711182,137.669998168945,2281.40991210938
365119.3719426,960,0,0.1,0,-30.6379063248699,148.363166014585,1224.21317763818,100.92412151977,159.516137649047,1204.64730179987,-195.585116324796,304.781998512951,991.881422872033,210.890180526664,339.568399942107,983.035089398004,0.016499999910593,0.0636000037193298,0.99779999256134,1.89999997615814,98.3899993896484,2024.89001464844
365119.3826776,960,0,0.1,0,-30.6103014174446,148.21992442451,1224.0680696631,100.988216488603,159.319669204862,1204.56859591564,-195.564641828524,304.739831756376,991.904395975002,210.919922980116,339.574227781812,983.072401421763,0.023700000718236,0.0493000000715256,0.998499989509583,14.9499998092651,77.6699981689453,1925.93994140625
